Quarter,NumActualDelinquents,NumOfPredictedDelinquents,NumRecordsInDataset,NumDelinquentsProperlyClassified,NumNonDelinquentsImproperlyClassified
Q21999,14128,14128,500000,158,426
Q31999,18078,18078,500000,278,745
Q41999,18927,18927,500000,125,252
Q12000,22631,22631,500000,272,318
Q22000,23566,23566,500000,328,446
Q32000,21523,21523,500000,294,309
Q42000,21402,21402,500000,337,302
Q12001,17091,17091,500000,138,298
Q22001,15797,15797,500000,124,349
Q32001,20616,20616,500000,152,583
Q42001,14857,14857,500000,284,446
Q12002,20265,20265,500000,294,620
Q22002,27627,27627,500000,451,755
Q32002,15091,15091,500000,226,438
Q42002,9823,9823,500000,98,171
Q12003,10223,10223,500000,117,168
Q22003,10029,10029,500000,143,269
Q32003,9670,9670,500000,83,192
Q42003,14575,14575,500000,85,141
Q12004,14775,14775,500000,115,124
Q22004,12439,12439,500000,98,145
Q32004,18301,18301,500000,72,106
Q42004,18602,18602,500000,32,99
Q12005,21671,21671,500000,112,77
Q22005,22618,22618,500000,19,64
Q32005,23338,23338,500000,34,71
Q42005,26951,26951,500000,62,72
Q12006,36077,36077,500000,20,22
Q22006,37267,37267,500000,10,36
Q32006,40865,40865,500000,9,12
Q42006,37488,37488,500000,10,0
Q12007,36363,36363,500000,1,0
Q22007,37660,37660,500000,0,0
Q32007,45145,45145,500000,0,0
Q42007,52663,52663,500000,0,0
Q12008,42646,42646,500000,1,4
Q22008,34628,34628,500000,0,0
Q32008,40638,40638,500000,0,0
Q42008,28575,28575,500000,0,0
Q12009,4721,4721,500000,0,0
Q22009,4438,4438,500000,0,0
Q32009,6678,6678,500000,0,0
Q42009,6791,6791,500000,0,0
Q12010,6229,6229,500000,0,0
Q22010,6057,6057,500000,0,0
Q32010,4687,4687,500000,0,0
Q42010,2909,2909,500000,0,0
Q12011,4715,4715,500000,0,0
Q22011,5124,5124,500000,0,0
Q32011,4054,4054,500000,0,0
Q42011,2600,2600,500000,0,0
Q12012,2172,2172,500000,0,0
Q22012,2225,2225,500000,0,0
Q32012,2405,2405,500000,0,0
Q42012,1691,1691,500000,0,0
Q12013,1636,1636,500000,0,0
Q22013,2446,2446,500000,0,0
Q32013,2906,2906,500000,0,0
Q42013,4277,4277,500000,0,0
Q12014,4176,4176,500000,0,0
Q22014,3146,3146,500000,0,0
Q32014,3016,3016,500000,0,0
Q42014,2966,2966,500000,0,0
Q12015,2663,2663,500000,0,0
Q22015,2020,2020,500000,0,0
Q32015,2901,2901,500000,0,0
Q42015,2529,2529,500000,0,0
Q12016,2645,2645,500000,0,0
